true_title,journal_lowercase
"Stable ion study of benzo[a]pyrene (BaP) derivatives: 7,8-dihydro-BaP, 9,10-dihydro-BaP and its 6-halo derivatives, 1- and 3-methoxy-9,10-dihydro- BaP-7(8H)-one, as well as the proximate carcinogen BaP 7,8-dihydrodiol and its dibenzoate, combined with a comparative DNA binding study of regioisomeric (1-, 4-, 2-) pyrenylcarbinols",organic & biomolecular chemistry
"Effect of sintering conditions on the microstructural, dielectric, ferroelectric and varistor properties of CaCu3Ti4O12 and La2/3Cu3Ti4O12 ceramics belonging to the high and low dielectric constant members of ACu3M4O12 (A=alkali, alkaline-earth metal, rare-earth metal or vacancy, M=transition metal) family of oxides",physica b: condensed matter
"Correction: β-Amyrin synthase from Euphorbia tirucalli L. functional analyses of the highly conserved aromatic residues Phe413, Tyr259 and Trp257 disclose the importance of the appropriate steric bulk, and cation–π and CH–π interactions for the efficient catalytic action of the polyolefin cyclization cascade",organic & biomolecular chemistry
"β-Amyrin synthase from Euphorbia tirucalli L. functional analyses of the highly conserved aromatic residues Phe413, Tyr259 and Trp257 disclose the importance of the appropriate steric bulk, and cation–π and CH–π interactions for the efficient catalytic action of the polyolefin cyclization cascade",organic & biomolecular chemistry
"The use of enantiomerically pure ketene dithioacetal bis(sulfoxides) in highly diastereoselective intramolecular nitrone cycloadditions. Application in the total synthesis of the β-amino acid (−)-cispentacin and the first asymmetric synthesis of cis-(3R,4R)-4-amino-pyrrolidine-3-carboxylic acid",organic & biomolecular chemistry
"Squalene–hopene cyclase: final deprotonation reaction, conformational analysis for the cyclization of (3R,S)-2,3-oxidosqualene and further evidence for the requirement of an isopropylidene moiety both for initiation of the polycyclization cascade and for the formation of the 5-membered E-ring",organic & biomolecular chemistry
"Comment on “An unexpected formation of the novel 7-oxa-2-azabicyclo[2.2.1]hept-5-ene skeleton during the reaction of furfurylamine with maleimides and their bioprospection using a zebrafish embryo model” by C. E. Puerto Galvis and V. V. Kouznetsov, Org. Biomol. Chem., 2013, 11, 407",organic & biomolecular chemistry
"New 1,2,3,4-tetrahydropyrrolo[1,2-a]pyrimidinium alkaloids (phloeodictynes) from the New Caledonian shallow-water haplosclerid sponge Oceanapia fistulosa. Structural elucidation from mainly LC-tandem-MS-soft-ionization techniques and discovery of antiplasmodial activity",organic & biomolecular chemistry
"Synthesis and chiral HPLC analysis of the dibenzyltetrahydrofuran lignans, larreatricins, 8′-epi-larreatricins, 3,3′-didemethoxyverrucosins and meso-3,3′-didemethoxynectandrin B in the creosote bush (Larrea tridentata): evidence for regiospecific control of coupling",organic & biomolecular chemistry
"Modulation of the reactivity, stability and substrate- and enantioselectivity of an epoxidation catalyst by noncovalent dynamic attachment of a receptor functionality—aspects on the mechanism of the Jacobsen–Katsuki epoxidation applied to a supramolecular system",organic & biomolecular chemistry
"Efficient synthesis of (+)-1,8,8a-tri-epi-swainsonine, (+)-1,2-di-epi-lentiginosine, (+)-9a-epi-homocastanospermine and (−)-9-deoxy-9a-epi-homocastanospermine from a D-glucose-derived aziridine carboxylate, and study of their glycosidase inhibitory activities",organic & biomolecular chemistry
The importance of including local correlation times in the calculation of inter-proton distances from NMR measurements: ignoring local correlation times leads to significant errors in the conformational analysis of the Glcα1–2Glcα linkage by NMR spectroscopy,organic & biomolecular chemistry
"Electrophilic and oxidative chemistry of pyrene and its non-alternant isomers: theoretical (DFT, GIAO-NMR, NICS) study of protonation carbocations and oxidation dications from pyrene, azupyrene (dicyclopenta[ef,kl]heptalene) and dicyclohepta[ed,gh]pentalene",organic & biomolecular chemistry
"NMR and molecular modeling of the dimeric self-association of the enantiomers of 1,1′-bi-2-naphthol and 1-phenyl-2,2,2-trifluoroethanol in the solution state and their relevance to enantiomer self-disproportionation on achiral-phase chromatography (ESDAC)",organic & biomolecular chemistry
"Chiral oxime ethers in asymmetric synthesis. O-(1-Phenylbutyl)benzyloxyacetaldoxime, a versatile reagent for the asymmetric synthesis of protected 1,2-aminoalcohols, α-amino acid derivatives, and 2-hydroxymethyl nitrogen heterocycles including iminosugars",organic & biomolecular chemistry
"Population distribution of flexible molecules from maximum entropy analysis using different priors as background information: application to the ϕ, ψ-conformational space of the α-(1→2)-linked mannose disaccharide present in N- and O-linked glycoproteins",organic & biomolecular chemistry
Competing sulfonylation and phosphonylation following rearrangement of an O-sulfonyl-N-phosphinoylhydroxylamine with tert-butylamine: demonstration of a phosphonamidic-sulfonic anhydride intermediate and 18O-labelling evidence on how it may be formed,organic & biomolecular chemistry
"Tri- and tetra-substituted cyclen based lanthanide(III) ion complexes as ribonuclease mimics: a study into the effect of log Ka, hydration and hydrophobicity on phosphodiester hydrolysis of the RNA-model 2-hydroxypropyl-4-nitrophenyl phosphate (HPNP)",organic & biomolecular chemistry
Squalene–hopene cyclase: insight into the role of the methyl group on the squalene backbone upon the polycyclization cascade. Enzymatic cyclization products of squalene analogs lacking a 26-methyl group and possessing a methyl group at C(7) or C(11),organic & biomolecular chemistry
"Studies on the conformational flexibility of α-L-rhamnose-containing oligosaccharides using 13C-site-specific labeling, NMR spectroscopy and molecular simulations: implications for the three-dimensional structure of bacterial rhamnan polysaccharides",organic & biomolecular chemistry
